iter	Passed	Remaining
485	619	655
486	620	653
487	621	651
488	621	649
489	622	648
490	623	646
491	625	645
492	626	644
493	628	643
494	629	642
495	630	640
496	631	639
497	632	637
498	632	635
499	633	633
500	634	631
501	635	630
502	635	628
503	636	626
504	637	624
505	638	623
506	640	623
507	643	622
508	643	621
509	644	619
510	645	617
511	646	616
512	647	614
513	648	613
514	649	611
515	650	609
516	650	608
517	651	606
518	652	604
519	653	602
520	654	601
521	657	601
522	658	600
523	659	599
524	660	597
525	661	596
526	662	594
527	663	592
528	674	600
529	676	599
530	677	598
531	677	596
532	678	594
533	679	593
534	680	591
535	681	589
536	682	588
537	682	586
538	683	584
539	684	582
540	685	581
541	688	581
542	689	580
543	690	578
544	690	576
545	691	575
546	692	573
547	693	572
548	694	570
549	695	568
550	695	567
551	696	565
552	697	563
553	698	562
554	699	560
555	700	559
556	702	559
557	703	557
558	704	555
559	705	554
560	706	552
561	707	551
562	707	549
563	708	548
564	710	546
565	711	545
566	712	543
567	712	542
568	713	540
569	714	539
570	715	537
571	717	536
572	718	535
573	719	533
574	720	532
575	721	531
576	722	529
577	723	528
578	724	526
579	724	524
580	725	523
581	726	521
582	727	520
583	728	518
584	729	517
585	731	516
586	732	515
587	733	513
588	734	512
589	735	510
590	735	509
591	736	507
592	737	506
593	738	504
594	739	503
595	740	501
596	741	500
597	741	498
598	742	497
599	743	495
600	744	494
601	746	493
602	747	492
603	748	490
604	749	489
605	750	488
606	751	486
607	752	485
608	753	483
609	754	482
610	754	480
611	755	479
612	756	477
613	757	476
614	758	474
615	759	473
616	761	472
617	762	471
618	763	469
619	764	468
620	765	466
621	765	465
622	766	463
623	767	462
624	768	460
625	768	459
626	769	457
627	770	456
628	771	454
629	772	453
630	772	451
631	774	450
632	776	450
633	778	449
634	779	448
635	781	447
636	781	445
637	782	444
638	783	442
639	784	441
640	785	439
641	786	438
642	786	436
643	787	435
644	788	434
645	789	432
646	791	431
647	792	430
648	793	429
649	794	427
650	795	426
651	795	424
652	796	423
653	797	421
654	797	420
655	798	418
656	799	417
657	800	416
658	801	414
659	802	413
660	803	411
661	803	410
662	804	409
663	806	407
664	807	406
665	808	405
666	809	403
667	810	402
668	811	401
669	812	399
670	812	398
671	813	397
672	814	395
673	815	394
674	815	392
675	816	391
676	817	389
677	818	388
678	818	387
679	820	386
680	822	385
681	822	383
682	823	382
683	824	380
684	825	379
685	826	378
686	827	376
687	828	375
688	828	374
689	829	372
690	830	371
691	831	369
692	831	368
693	832	367
694	833	365
695	834	364
696	836	363
697	837	362
698	838	361
699	839	359
700	840	358
701	841	357
702	842	356
703	843	354
704	844	353
705	845	352
706	846	350
707	847	349
708	848	348
709	849	347
710	851	346
711	852	344
712	853	343
713	854	342
714	855	341
715	856	339
716	857	338
717	858	337
718	859	335
719	860	334
720	861	333
721	862	332
722	863	330
723	864	329
724	866	328
725	867	327
726	868	326
727	870	325
728	871	323
729	872	322
730	873	321
731	874	320
732	875	318
733	875	317
734	876	316
735	877	314
736	878	313
737	881	313
738	882	311
739	883	310
740	884	309
741	885	307
742	886	306
743	887	305
744	888	303
745	888	302
746	889	301
747	890	300
748	891	298
749	892	297
750	893	296
751	894	295
752	896	294
753	897	292
754	898	291
755	899	290
756	900	289
757	901	287
758	902	286
759	903	285
760	904	284
761	905	282
762	906	281
763	907	280
764	908	279
765	910	278
766	911	276
767	912	275
768	913	274
769	914	273
770	916	272
771	916	270
772	917	269
773	918	268
774	919	266
775	920	265
776	921	264
777	922	263
778	923	261
779	924	260
780	925	259
781	926	258
782	927	257
783	929	256
784	930	254
785	931	253
786	932	252
787	933	251
788	933	249
789	934	248
790	935	247
791	936	246
792	937	244
793	938	243
794	939	242
795	942	241
796	943	240
797	945	239
798	946	238
799	947	236
800	948	235
801	948	234
802	949	233
803	950	231
804	951	230
805	952	229
806	954	228
807	956	227
808	957	226
809	958	224
810	959	223
811	960	222
812	961	221
813	962	219
814	963	218
815	964	217
816	965	216
817	966	214
818	967	213
819	968	212
820	968	211
821	970	210
822	972	209
823	973	208
824	974	206
825	975	205
826	976	204
827	977	203
828	978	201
829	979	200
830	979	199
831	980	198
832	981	196
833	982	195
834	983	194
835	983	193
836	984	191
837	986	190
838	987	189
839	988	188
840	989	187
841	990	185
842	991	184
843	992	183
844	993	182
845	994	180
846	994	179
847	995	178
848	996	177
849	996	175
850	997	174
851	998	173
852	1000	172
853	1001	171
854	1002	170
855	1003	168
856	1005	167
857	1006	166
858	1007	165
859	1008	164
860	1009	163
861	1010	161
862	1011	160
863	1012	159
864	1013	158
865	1015	157
866	1017	156
867	1019	155
868	1020	153
869	1021	152
870	1022	151
871	1024	150
872	1026	149
873	1028	148
874	1029	147
875	1031	146
876	1033	144
877	1034	143
878	1035	142
879	1037	141
880	1039	140
881	1040	139
882	1042	138
883	1043	136
884	1047	136
885	1049	135
886	1050	133
887	1051	132
888	1052	131
889	1054	130
890	1055	129
891	1056	127
892	1057	126
893	1058	125
894	1059	124
895	1062	123
896	1063	122
897	1064	120
898	1065	119
899	1066	118
900	1067	117
901	1068	116
902	1069	114
903	1070	113
904	1071	112
905	1072	111
906	1073	110
907	1073	108
908	1076	107
909	1078	106
910	1079	105
911	1080	104
912	1082	103
913	1083	101
914	1084	100
915	1085	99
916	1086	98
917	1087	97
918	1091	96
919	1092	94
920	1093	93
921	1094	92
922	1095	91
923	1096	90
924	1097	88
925	1098	87
926	1099	86
927	1100	85
928	1101	84
929	1102	82
930	1105	81
931	1106	80
932	1108	79
933	1109	78
934	1110	77
935	1111	75
936	1112	74
937	1113	73
938	1114	72
939	1115	71
940	1116	70
941	1117	68
942	1119	67
943	1121	66
944	1122	65
945	1124	64
946	1126	63
947	1127	61
948	1128	60
949	1129	59
950	1130	58
951	1131	57
952	1132	55
953	1134	54
954	1135	53
955	1136	52
956	1138	51
957	1139	49
958	1141	48
959	1143	47
960	1144	46
961	1146	45
962	1147	44
963	1150	42
964	1151	41
965	1153	40
966	1154	39
967	1155	38
968	1156	37
969	1157	35
970	1158	34
971	1159	33
972	1160	32
973	1161	31
974	1163	29
975	1165	28
976	1167	27
977	1168	26
978	1169	25
979	1170	23
980	1171	22
981	1172	21
982	1173	20
983	1173	19
984	1174	17
985	1175	16
986	1176	15
987	1177	14
988	1179	13
989	1180	11
990	1181	10
991	1182	9
992	1183	8
993	1184	7
994	1185	5
995	1186	4
996	1187	3
997	1188	2
998	1189	1
999	1190	0
